feature_type,params,f1_score,accuracy,precision,recall,roc_auc,confusion_matrix
tabular_text,"(500, 5, 0.01, 0.7, 10, 5, 0.1)",0.21145374449339208,0.9787738645796277,0.12698412698412698,0.631578947368421,0.8059621955424594,"[[8230  165]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.7, 10, 5, 0.3)",0.21428571428571427,0.9791296098660026,0.12903225806451613,0.631578947368421,0.8061408733268548,"[[8233  162]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.7, 10, 10, 0.1)",0.17843866171003717,0.9737934305703783,0.1038961038961039,0.631578947368421,0.8034607065609228,"[[8188  207]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.7, 10, 10, 0.3)",0.17647058823529413,0.9734376852840033,0.10256410256410256,0.631578947368421,0.8032820287765274,"[[8185  210]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.7, 30, 5, 0.1)",0.20408163265306123,0.9768765563856279,0.12077294685990338,0.6578947368421053,0.818107582834394,"[[8213  182]
 [  13   25]]"
tabular_text,"(500, 5, 0.01, 0.7, 30, 5, 0.3)",0.20242914979757085,0.9766393928613779,0.11961722488038277,0.6578947368421053,0.8179884643114635,"[[8211  184]
 [  13   25]]"
tabular_text,"(500, 5, 0.01, 0.7, 30, 10, 0.1)",0.16339869281045752,0.9696430688960038,0.09328358208955224,0.6578947368421053,0.8144744678850193,"[[8152  243]
 [  13   25]]"
tabular_text,"(500, 5, 0.01, 0.7, 30, 10, 0.3)",0.16339869281045752,0.9696430688960038,0.09328358208955224,0.6578947368421053,0.8144744678850193,"[[8152  243]
 [  13   25]]"
tabular_text,"(500, 5, 0.01, 0.85, 10, 5, 0.1)",0.22429906542056074,0.9803154274872524,0.13636363636363635,0.631578947368421,0.8067364659415065,"[[8243  152]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.85, 10, 5, 0.3)",0.22429906542056074,0.9803154274872524,0.13636363636363635,0.631578947368421,0.8067364659415065,"[[8243  152]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.85, 10, 10, 0.1)",0.19433198380566802,0.976402229337128,0.11483253588516747,0.631578947368421,0.8047710103131563,"[[8210  185]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.85, 10, 10, 0.3)",0.192,0.976046484050753,0.11320754716981132,0.631578947368421,0.8045923325287608,"[[8207  188]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.85, 30, 5, 0.1)",0.20920502092050208,0.9775880469583778,0.12437810945273632,0.6578947368421053,0.8184649384031849,"[[8219  176]
 [  13   25]]"
tabular_text,"(500, 5, 0.01, 0.85, 30, 5, 0.3)",0.1991701244813278,0.9771137199098778,0.11822660098522167,0.631578947368421,0.8051283658819472,"[[8216  179]
 [  14   24]]"
tabular_text,"(500, 5, 0.01, 0.85, 30, 10, 0.1)",0.17482517482517482,0.9720147041385035,0.10080645161290322,0.6578947368421053,0.8156656531143225,"[[8172  223]
 [  13   25]]"
